candidate_id,current_level,offered_level,seniority_jump,years_experience,months_in_current_role,notice_period_days,current_salary,offered_salary,salary_increase_pct,remote_policy_match,interview_score,recruiter_sentiment,hiring_manager_sentiment,process_length_days,response_time_hours,competing_offers,employer_brand_score,technical_test_score,candidate_nps,relocation_required,visa_required,stage_drop_risk,offer_accepted
CAND-0069,Junior,Junior,0,1,15,14,431364,434000,0.6,1,2.9,3.6,2.1,14,82.9,1,3.1,65.2,81,1,0,0.522,0
CAND-0070,Director,Director,0,20,60,30,1005792,1045000,3.9,1,3.52,3.5,1.6,35,27.9,0,3.3,,78,0,0,0.238,1
CAND-0071,Senior,Lead,1,10,43,30,835984,982000,17.5,1,4.03,3.0,3.6,40,5.8,0,3.5,64.8,29,0,1,0.223,1
CAND-0072,Junior,Mid,1,3,23,60,434645,449000,3.4,1,3.46,4.0,3.8,45,8.3,0,3.1,86.3,100,0,0,0.181,1
CAND-0073,Junior,Junior,0,1,19,14,387232,480000,24.0,0,3.23,2.4,2.7,18,21.9,0,3.2,48.5,88,1,0,0.251,1
CAND-0074,Senior,Lead,1,12,15,30,849282,963000,13.4,0,3.64,4.2,2.9,12,18.9,1,3.7,86.2,13,0,1,0.322,1
CAND-0075,Senior,Lead,1,10,25,30,694766,798000,14.8,1,3.99,4.1,2.7,12,6.8,1,3.8,,-5,0,0,0.298,0
CAND-0076,Senior,Lead,1,10,55,30,760601,848000,11.5,1,2.72,4.1,2.6,26,2.7,1,2.8,70.2,24,0,0,0.319,1
CAND-0077,Senior,Senior,0,10,23,60,721588,873000,21.0,1,3.68,3.7,4.0,76,120.0,1,3.9,63.0,46,0,0,0.747,1
CAND-0078,Junior,Mid,1,1,25,14,428542,519000,21.0,1,4.42,4.8,2.3,17,10.6,0,3.5,,88,0,0,0.076,1
CAND-0079,Mid,Lead,2,5,40,60,485913,569000,17.0,0,3.9,4.3,3.2,18,8.8,0,4.1,,82,0,0,0.104,1
CAND-0080,Junior,Mid,1,2,11,60,473449,564000,19.1,1,3.54,3.1,2.6,13,13.6,1,4.2,,88,1,0,0.377,0
CAND-0081,Lead,Senior,-1,15,43,30,830567,931000,12.1,0,3.95,3.1,2.1,36,9.6,0,3.4,68.7,16,0,0,0.218,0
CAND-0082,Senior,Senior,0,8,45,60,678379,807000,18.9,0,3.82,2.9,4.2,42,13.8,0,4.1,,63,0,0,0.254,1
CAND-0083,Mid,Senior,1,4,30,30,480319,533000,11.0,1,4.03,4.0,2.9,39,44.1,1,3.2,,18,0,0,0.457,1
CAND-0084,Junior,Senior,2,1,52,14,470005,536000,14.0,1,2.08,2.8,3.6,61,10.8,0,4.5,88.3,-37,0,0,0.295,0
CAND-0085,Mid,Senior,1,4,13,60,590990,659000,11.5,1,2.41,4.5,2.0,29,3.8,0,3.2,,72,0,0,0.104,1
CAND-0086,Mid,Senior,1,4,40,30,484791,533000,9.9,1,4.2,4.7,2.7,14,10.4,0,3.9,,-23,0,0,0.075,1
CAND-0087,Senior,Senior,0,10,34,30,771401,832000,7.8,1,2.45,2.9,4.1,20,7.7,0,3.6,54.7,71,0,0,0.19,1
CAND-0088,Senior,Lead,1,8,43,30,845459,999000,18.2,0,3.78,3.5,5.0,40,50.6,0,3.1,51.2,69,0,0,0.305,1
CAND-0089,Lead,Director,1,15,46,90,881032,1108000,25.8,0,3.25,3.6,1.6,37,39.3,0,4.2,,84,0,0,0.264,1
CAND-0090,Mid,Mid,0,6,22,30,568662,708000,24.5,0,2.8,4.3,3.2,32,13.6,0,3.3,,-24,1,0,0.147,1
CAND-0091,Junior,Mid,1,2,26,14,401300,412000,2.7,0,3.74,4.9,3.8,42,3.4,0,2.7,47.4,82,0,0,0.108,1
CAND-0092,Senior,Director,2,10,17,30,715700,899000,25.6,0,3.64,2.3,2.8,39,3.6,0,2.0,72.3,100,0,0,0.258,1
CAND-0093,Senior,Senior,0,10,42,60,822017,913000,11.1,1,4.98,3.3,4.2,64,12.4,1,3.2,53.6,88,0,0,0.475,0
CAND-0094,Mid,Senior,1,7,32,60,535609,640000,19.4,0,3.06,3.4,2.6,35,17.1,0,4.5,56.3,79,1,0,0.217,1
CAND-0095,Senior,Senior,0,10,42,30,831634,880000,5.8,0,4.51,2.5,3.5,51,8.4,0,4.5,,70,0,0,0.284,1
CAND-0096,Mid,Senior,1,6,40,60,570045,657000,15.3,1,3.75,3.2,2.9,18,7.5,0,3.3,,42,0,1,0.167,1
CAND-0097,Mid,Senior,1,6,33,30,541901,633000,16.8,0,3.04,3.9,4.5,42,6.7,0,3.5,54.3,77,0,0,0.176,1
CAND-0098,Mid,Senior,1,5,31,30,485703,489000,0.6,0,4.06,3.4,2.8,67,11.9,0,3.4,,76,1,0,0.275,1
CAND-0099,Junior,Mid,1,1,15,60,472645,565000,19.5,1,3.9,2.4,3.1,24,1.1,0,2.9,63.3,67,0,0,0.212,1
CAND-0100,Junior,Junior,0,2,16,60,443115,559000,26.1,0,3.53,5.0,4.3,51,4.0,1,3.1,60.9,83,0,0,0.323,1
CAND-0101,Junior,Senior,2,1,35,60,468090,526000,12.4,1,3.69,3.8,2.5,46,6.5,1,4.3,84.1,45,1,0,0.39,1
CAND-0102,Senior,Lead,1,8,50,60,667676,843000,26.2,1,3.08,3.7,3.5,11,40.8,1,4.0,55.3,-32,1,0,0.404,0
CAND-0103,Mid,Mid,0,4,27,14,601332,675000,12.3,1,2.92,2.7,1.8,35,5.4,0,3.9,50.7,59,0,0,0.229,0
CAND-0104,Mid,Senior,1,6,30,60,509802,620000,21.6,1,4.03,3.8,2.4,14,14.6,0,2.9,,14,1,0,0.14,1
CAND-0105,Lead,Director,1,15,32,30,910331,856000,-6.0,1,3.34,3.5,3.7,81,15.3,0,3.8,91.9,36,0,0,0.308,1
CAND-0106,Junior,Junior,0,3,35,14,442904,601000,35.8,1,3.44,2.1,2.5,54,44.6,1,2.3,79.2,-86,0,1,0.605,1
CAND-0107,Mid,Senior,1,5,36,30,604786,771000,27.5,0,3.7,2.7,2.9,13,43.1,0,4.2,,36,0,0,0.275,1
CAND-0108,Senior,Director,2,10,55,30,705169,786000,11.4,1,3.69,4.2,3.8,13,11.5,0,3.9,58.8,84,0,0,0.106,1
CAND-0109,Junior,Junior,0,3,15,30,448147,432000,-3.7,1,2.5,5.0,2.9,36,7.6,0,2.9,82.7,57,1,0,0.099,0
CAND-0110,Junior,Senior,2,1,20,30,402075,469000,16.6,1,4.4,3.9,4.1,22,6.3,1,4.7,91.7,-92,1,1,0.331,0
CAND-0111,Mid,Mid,0,4,32,14,562015,568000,1.0,1,3.58,4.5,3.6,11,9.6,1,2.6,,48,0,0,0.278,0
CAND-0112,Junior,Junior,0,3,30,30,454716,537000,18.0,1,3.36,3.5,3.8,32,7.9,1,4.0,59.3,20,0,0,0.381,0
CAND-0113,Director,Director,0,18,45,30,989304,1164000,17.7,1,3.8,3.5,4.5,24,21.2,0,4.0,,49,0,0,0.196,1
CAND-0114,Senior,Lead,1,12,27,30,769851,812000,5.5,1,3.67,4.5,3.7,13,18.5,0,3.0,66.9,39,0,0,0.105,1
CAND-0115,Senior,Lead,1,8,44,30,760729,944000,24.1,1,4.04,4.9,4.8,53,22.0,1,3.7,,95,0,0,0.379,1
CAND-0116,Lead,Lead,0,15,49,60,879622,1067000,21.3,1,3.88,4.6,4.2,69,42.9,0,2.7,56.4,-70,1,0,0.285,1
CAND-0117,Senior,Senior,0,12,26,60,694215,852000,22.8,0,4.0,2.7,2.9,49,78.5,0,2.0,50.1,72,0,1,0.443,0
CAND-0118,Junior,Mid,1,3,37,60,460146,525000,14.1,1,4.45,3.5,4.6,56,13.8,1,3.1,100.0,88,0,0,0.449,0
CAND-0119,Lead,Lead,0,15,53,30,893973,906000,1.3,0,4.12,3.8,3.6,17,36.6,1,3.3,,97,0,0,0.401,0
CAND-0120,Mid,Senior,1,7,31,60,588654,723000,22.8,1,3.39,3.4,3.0,19,8.6,1,4.1,58.2,-11,0,0,0.36,1
CAND-0121,Senior,Lead,1,12,36,14,783593,874000,11.6,1,2.71,3.9,3.7,17,39.8,1,3.7,94.0,56,0,1,0.403,1
CAND-0122,Lead,Director,1,15,47,14,844028,857000,1.5,1,4.67,4.3,4.4,49,35.2,0,3.8,76.0,-69,0,0,0.239,1
CAND-0123,Mid,Lead,2,4,21,30,519328,655000,26.2,0,3.33,4.4,3.8,76,33.4,0,3.1,75.1,52,0,0,0.288,1
CAND-0124,Junior,Junior,0,2,24,60,407301,541000,32.9,1,3.17,4.9,5.0,45,13.4,1,3.4,57.2,-30,0,0,0.339,1
CAND-0125,Junior,Senior,2,3,3,30,418015,475000,13.6,0,2.28,3.3,4.4,64,6.2,1,3.1,60.3,87,0,0,0.46,1
CAND-0126,Mid,Senior,1,5,38,14,516845,689000,33.4,1,3.74,2.5,3.9,39,3.0,1,3.0,67.4,-35,0,0,0.444,1
CAND-0127,Senior,Lead,1,12,20,14,726818,834000,14.8,1,3.6,3.9,2.5,24,11.7,1,3.3,,54,0,0,0.349,0
CAND-0128,Lead,Lead,0,15,57,60,896394,991000,10.6,0,2.44,5.0,3.2,26,56.4,1,3.7,60.7,55,1,0,0.399,1
CAND-0129,Junior,Mid,1,1,20,30,424159,459000,8.3,1,3.82,3.2,3.5,12,8.9,0,3.4,68.1,98,0,0,0.157,1
CAND-0130,Mid,Mid,0,6,27,30,523714,674000,28.7,1,3.15,4.1,4.0,10,26.7,1,3.5,87.6,69,0,0,0.343,1
CAND-0131,Mid,Mid,0,5,23,30,560722,600000,7.0,1,5.0,4.2,4.0,43,28.3,1,4.1,,19,0,0,0.414,0
CAND-0132,Junior,Junior,-1,3,21,30,479721,579000,20.6,1,3.1,3.8,3.6,27,9.2,0,3.4,80.2,9,0,0,0.155,1
CAND-0133,Junior,Mid,1,2,38,60,476730,520000,9.0,1,3.2,3.6,3.5,33,45.4,0,2.9,37.1,-29,0,0,0.271,1
CAND-0134,Mid,Senior,1,4,5,30,505230,555000,9.9,1,2.89,2.9,4.0,33,0.7,1,4.0,,79,0,0,0.401,0
CAND-0135,Director,Director,1,18,60,60,1072554,1322000,23.3,1,4.39,1.8,2.6,19,3.6,0,3.9,54.5,73,1,0,0.243,1
CAND-0136,Mid,Senior,1,4,33,30,529262,585000,10.6,0,3.24,2.7,4.9,28,4.9,1,3.9,,65,0,0,0.412,0
CAND-0137,Mid,Mid,0,6,17,60,521722,576000,10.4,1,2.99,3.3,1.6,28,5.4,0,4.1,74.1,-70,0,0,0.178,0
CAND-0138,Senior,Lead,1,10,25,0,817431,1015000,24.2,0,3.99,4.5,4.7,24,17.1,1,4.0,71.2,80,0,0,0.326,1
CAND-0139,Mid,Mid,0,5,46,30,542796,697000,28.4,1,2.53,3.5,3.4,56,16.3,0,3.7,,68,0,0,0.255,1
CAND-0140,Director,Director,1,20,38,30,1151231,1379000,19.8,0,3.94,3.2,4.3,27,18.1,0,5.0,,98,0,0,0.213,1
CAND-0141,Director,Director,1,20,36,30,1220740,1320000,8.1,0,4.75,2.9,3.7,36,22.1,0,2.9,54.7,62,1,0,0.261,0
CAND-0142,Mid,Senior,1,4,41,14,567052,620000,9.4,1,3.9,4.1,3.7,66,4.7,0,3.3,82.9,22,0,0,0.212,1
CAND-0143,Mid,Senior,1,6,33,60,580808,666000,14.7,1,3.95,4.7,3.9,62,3.6,0,4.3,59.0,36,1,0,0.165,1
CAND-0144,Mid,Mid,0,4,20,30,616311,720000,16.9,1,4.11,4.5,4.1,65,18.1,0,3.8,66.5,-11,0,0,0.22,1
CAND-0145,Mid,Senior,1,4,32,60,571951,601000,5.1,1,4.7,4.1,3.1,19,6.5,1,4.2,45.6,76,0,1,0.312,1
CAND-0146,Junior,Mid,1,1,13,60,430886,519000,20.5,1,4.35,2.4,4.3,11,2.5,0,3.8,80.9,75,0,0,0.187,1
CAND-0147,Mid,Senior,1,7,41,30,583424,670000,14.8,0,3.81,3.3,2.4,19,32.2,1,4.5,48.2,-3,0,0,0.425,1
CAND-0148,Mid,Mid,0,6,40,60,638267,629000,-1.4,1,4.13,5.0,3.4,19,49.2,1,3.1,81.7,-17,0,0,0.365,0
CAND-0149,Junior,Mid,1,1,29,60,474859,501000,5.6,1,2.88,4.5,4.2,68,57.8,1,4.5,52.1,-51,0,0,0.526,0
CAND-0150,Mid,Senior,1,4,33,30,576299,631000,9.5,1,4.04,2.4,4.3,39,14.7,0,4.4,83.2,93,1,0,0.279,1
CAND-0151,Lead,Lead,0,15,59,60,985746,1117000,13.3,0,2.8,3.6,3.8,12,22.8,0,3.0,,7,1,0,0.168,1
CAND-0152,Junior,Junior,0,3,23,30,398105,522000,31.0,1,3.24,3.9,3.0,14,47.9,0,4.1,59.6,30,0,0,0.217,1
CAND-0153,Junior,Mid,1,2,12,30,409739,476000,16.1,1,1.34,3.0,4.2,15,6.4,1,3.7,92.0,18,0,0,0.369,1
CAND-0154,Mid,Senior,1,6,34,60,494497,526000,6.4,1,3.78,1.8,2.8,38,37.0,1,3.3,67.0,40,0,0,0.569,0
CAND-0155,Director,Director,0,20,68,30,1375032,1595000,16.0,1,3.05,3.7,5.0,47,16.0,0,2.6,62.6,75,0,1,0.222,1
CAND-0156,Junior,Junior,0,3,13,30,472019,523000,10.8,0,4.28,3.0,3.3,61,30.4,0,3.1,81.6,90,1,0,0.332,1
CAND-0157,Senior,Senior,0,8,32,30,830326,971000,16.9,0,3.77,3.0,2.0,75,14.7,0,4.1,,-9,0,0,0.323,1
CAND-0158,Senior,Senior,0,10,40,60,749017,893000,19.2,0,4.29,3.3,2.3,16,44.5,0,4.2,30.1,73,0,0,0.249,1
CAND-0159,Junior,Mid,1,3,23,90,467695,584000,24.9,1,2.74,3.5,3.4,21,15.2,0,3.6,,31,0,0,0.175,1
CAND-0160,Senior,Lead,1,10,26,30,709385,807000,13.8,0,4.23,3.6,3.5,18,2.8,1,4.2,,99,0,0,0.331,1
CAND-0161,Mid,Senior,1,5,41,60,585153,754000,28.8,1,4.97,2.9,5.0,23,52.0,0,4.3,81.0,21,0,1,0.307,1
CAND-0162,Senior,Lead,1,8,59,90,673826,823000,22.2,1,4.03,3.4,2.5,69,4.7,1,3.8,,-94,1,0,0.461,0
CAND-0163,Senior,Senior,0,8,37,14,750034,807000,7.6,1,4.05,2.2,3.4,34,42.7,1,3.3,,54,0,0,0.55,1
CAND-0164,Mid,Senior,1,7,20,30,564242,756000,33.9,1,3.62,3.8,2.4,47,11.1,1,4.0,77.1,-20,0,0,0.404,1
CAND-0165,Junior,Mid,1,2,8,60,430100,503000,16.9,1,3.13,1.3,3.0,29,39.5,0,4.0,,-68,0,0,0.385,1
CAND-0166,Senior,Director,2,12,38,60,765170,815000,6.5,1,4.03,3.4,4.9,10,37.9,0,4.1,,74,0,0,0.213,1
CAND-0167,Mid,Senior,1,4,41,60,615431,793000,28.9,1,2.45,4.3,2.4,12,18.7,0,4.2,52.2,77,0,0,0.115,1
CAND-0168,Junior,Junior,0,3,28,30,476205,632000,32.7,1,3.21,2.8,3.9,32,20.3,1,2.9,42.0,47,0,0,0.454,1
CAND-0169,Junior,Mid,1,1,23,14,392809,447000,13.7,0,2.26,4.2,3.8,45,18.6,0,3.4,,72,1,0,0.194,1
CAND-0170,Mid,Mid,0,7,24,30,544450,596000,9.5,0,3.01,4.5,3.4,17,1.6,0,2.6,,57,0,0,0.072,0
CAND-0171,Senior,Lead,1,8,25,30,678428,763000,12.4,1,3.95,1.0,3.9,45,13.7,1,4.1,67.5,67,1,0,0.574,0
CAND-0172,Junior,Junior,0,1,32,30,474990,572000,20.4,0,3.85,3.5,2.4,54,4.0,0,3.6,,63,0,1,0.22,1
CAND-0173,Mid,Mid,0,6,39,60,552790,694000,25.5,0,3.54,1.3,4.9,25,14.5,1,4.0,53.9,71,1,1,0.514,1
CAND-0174,Junior,Mid,1,3,8,14,470321,560000,19.1,0,3.62,3.5,5.0,48,3.9,0,2.8,45.2,-3,0,0,0.206,1
CAND-0175,Senior,Senior,0,8,51,60,642093,738000,14.9,1,2.18,3.6,3.4,25,3.7,0,4.5,100.0,15,0,0,0.149,1
CAND-0176,Junior,Mid,1,3,29,30,424498,541000,27.5,0,3.24,1.6,5.0,42,60.6,0,3.0,67.3,44,1,0,0.449,0
CAND-0177,Senior,Senior,0,8,49,30,756251,841000,11.2,1,3.02,5.0,3.0,49,35.5,0,4.2,95.4,45,0,0,0.198,1
CAND-0178,Mid,Senior,1,5,16,14,520985,642000,23.3,0,3.04,3.8,3.8,88,12.1,1,3.8,85.5,81,1,1,0.498,1
CAND-0179,Director,Director,1,18,34,30,1274153,1419000,11.4,0,3.92,2.9,4.7,22,14.7,0,3.6,63.2,33,0,1,0.212,1
CAND-0180,Junior,Mid,1,2,22,14,462094,545000,17.9,0,2.9,4.8,3.0,25,9.5,0,3.5,70.7,-16,1,0,0.091,1
CAND-0181,Mid,Mid,0,5,35,90,608515,688000,13.0,1,3.08,2.2,2.2,15,21.5,1,3.3,70.3,11,0,0,0.455,0
CAND-0182,Junior,Junior,0,2,41,60,397718,451000,13.5,0,2.04,2.6,1.9,16,6.2,1,4.5,95.7,1,0,0,0.395,1
CAND-0183,Director,Lead,-1,18,55,30,1258849,1392000,10.6,1,3.29,1.8,5.0,43,32.9,0,3.7,80.4,77,0,0,0.37,1
